Player,Salary
Justin Patton,"$183,115"
PJ Dozier,"$183,115"
Alfonzo McKinnie,"$183,114"
Gary Clark,"$163,356"
Jarrod Uthoff,"$163,356"
Jaylen Adams,"$163,356"
Joe Chealey,"$163,356"
Luguentz Dort,"$155,647"
Cameron Payne,"$150,000"
Jeff Green,"$144,901"
Anthony Tolliver,"$144,901"
Joakim Noah,"$144,901"
Troy Williams,"$122,741"
Johnathan Williams,"$106,181"
Tyler Cook,"$101,504"
Donta Hall,"$101,504"
Donta Hall,"$101,504"
Yante Maten,"$100,000"
Jaylen Adams,"$100,000"
Justin Anderson,"$98,144"
Demetrius Jackson,"$92,857"
Chasson Randle,"$91,557"
Jeremy Pargo,"$91,557"
Jonah Bolden,"$81,678"
Josh Magette,"$81,678"
Jarrod Uthoff,"$81,678"
Dusty Hannahs,"$81,678"
Derrick Walton,"$81,678"
Sheldon Mac,"$81,678"
J.P. Macura,"$81,678"
Mychal Mulder,"$50,752"
Eric Mika,"$50,752"
Zach Norvell,"$50,752"
Malik Newman,"$50,752"
Marques Bolden,"$50,752"
Sir'Dominic Pointer,"$50,752"
Paul Watson,"$50,752"
Tyler Cook,"$50,000"
William Howard,"$50,000"
Isaiah Taylor,"$50,000"
Tyler Lydon,"$50,000"
Hollis Thompson,"$50,000"
Tyler Ulis,"$50,000"
